currency Pair,volume(24h)
ETH/BTC,17 954.79 ETH
ETH/USD,729.28 ETH
ETH/RUR,111.66 ETH
ETH/USDT,18.74 ETH
XFC/ETH,16.00 ETH
ESP/ETH,7.27 ETH
XSN/ETH,10.41 ETH
WNL/ETH,7.65 ETH
DGTX/ETH,4.85 ETH
UQC/ETH,5.10 ETH
HEDG/ETH,4.84 ETH
SHIFT/ETH,4.80 ETH
DGB/ETH,1.69 ETH
CHSB/ETH,1.05 ETH
ZEC/ETH,1.06 ETH
ONL/ETH,1.00 ETH
NOKU/ETH,0.92 ETH
MDC/ETH,0.88 ETH
MASH/ETH,0.87 ETH
GAS/ETH,1.04 ETH
CCRB/ETH,0.88 ETH
XRP/ETH,0.83 ETH
IPL/ETH,0.87 ETH
MIOTA/ETH,0.79 ETH
IMP/ETH,0.82 ETH
YOC/ETH,0.98 ETH
HB/ETH,0.74 ETH
CPC/ETH,0.69 ETH
NEXO/ETH,0.58 ETH
QBIT/ETH,0.33 ETH
PZM/ETH,0.14 ETH
EMC/ETH,0.10 ETH
WGR/ETH,0.09 ETH
BNT/ETH,0.05 ETH
ITCM/ETH,0.06 ETH
XLM/ETH,0.05 ETH
DTR/ETH,0.04 ETH
LINK/ETH,0.03 ETH
BTB/ETH,0.02 ETH
EKT/ETH,0.02 ETH
BTT/ETH,0.01 ETH
GOAL/ETH,0.02 ETH
KTETH/ETH,0.01 ETH
TRX/ETH,0.01 ETH
BPTN/ETH,0.01 ETH
DGD/ETH,0.01 ETH
SCT/ETH,0.01 ETH
GUP/ETH,0.00 ETH
TUBE/ETH,0.00 ETH
FLIXX/ETH,0.01 ETH
RVN/ETH,0.00 ETH
MNC/ETH,0.01 ETH
FUN/ETH,0.00 ETH
VET/ETH,0.00 ETH
CSE/ETH,0.00 ETH
SNX/ETH,0.00 ETH
TKN/ETH,0.00 ETH
JBY/ETH,0.00 ETH
SFT/ETH,0.00 ETH
CBC/ETH,0.00 ETH
eETT/ETH,0.00 ETH
MOF/ETH,0.00 ETH
SHARK/ETH,0.00 ETH
CBR/ETH,0.00 ETH
POST/ETH,0.00 ETH
VOISE/ETH,0.00 ETH
PISH/ETH,0.00 ETH
ZMN/ETH,0.00 ETH
WIC/ETH,0.00 ETH
BTM/ETH,0.00 ETH
YVM/ETH,0.00 ETH
PAY/ETH,0.00 ETH
KNZV/ETH,0.00 ETH
INS/ETH,0.00 ETH
KED/ETH,0.00 ETH
KICK/ETH,0.00 ETH
ARTE/ETH,0.00 ETH
CRC/ETH,0.00 ETH
VRS/ETH,0.00 ETH
ITI/ETH,0.00 ETH
CPT/ETH,0.00 ETH
MNE/ETH,0.00 ETH
XAC/ETH,0.00 ETH
DXR/ETH,0.00 ETH
ROCKET/ETH,0.00 ETH
ABBC/ETH,0.00 ETH
FLOT/ETH,0.00 ETH
KAPU/ETH,0.00 ETH
ESR/ETH,0.00 ETH
SPD/ETH,0.00 ETH
PPT/ETH,0.00 ETH
XLAB/ETH,0.04 ETH
FTT/ETH,0.00 ETH
MYCT/ETH,0.00 ETH
WABI/ETH,0.00 ETH
QTUM/ETH,0.00 ETH
BTCH/ETH,0.00 ETH
SLOPPS/ETH,0.00 ETH
HT/ETH,0.00 ETH
ICOS/ETH,0.00 ETH
